type,month,value
total,1,4397099
total,2,3588230
total,3,3301258
total,4,3320129
total,5,3805428
total,6,3205181
total,7,4441488
total,8,3616410
total,9,3098868
total,10,3446985
total,11,3413221
total,12,3950181
ticket,1,2516070
ticket,2,2322223
ticket,3,2313602
ticket,4,2327361
ticket,5,2532720
ticket,6,2161193
ticket,7,2724803
ticket,8,2294900
ticket,9,2157749
ticket,10,2445972
ticket,11,2321468
ticket,12,2578640
one_way,1,1772317
one_way,2,1224641
one_way,3,959271
one_way,4,961705
one_way,5,1224638
one_way,6,974149
one_way,7,1513184
one_way,8,1212995
one_way,9,890548
one_way,10,946052
one_way,11,1022375
one_way,12,1222775
