type,month,value
total,1,4005165
total,2,4623289
total,3,3647793
total,4,3874501
total,5,3780160
total,6,3821847
total,7,4500102
total,8,4366384
total,9,3990584
total,10,4282828
total,11,4091581
total,12,4652397
ticket,1,2646047
ticket,2,2582503
ticket,3,2585882
ticket,4,2588271
ticket,5,2614610
ticket,6,2549807
ticket,7,2838181
ticket,8,2826934
ticket,9,2750325
ticket,10,2947769
ticket,11,2884264
ticket,12,3180126
one_way,1,1297281
one_way,2,1889913
one_way,3,1020672
one_way,4,1228222
one_way,5,1122694
one_way,6,1220822
one_way,7,1573227
one_way,8,1459899
one_way,9,1192026
one_way,10,1277328
one_way,11,1156232
one_way,12,1390107
