type,month,value
total,1,5059680
total,2,5450136
total,3,4821327
total,4,4904412
total,5,5435496
total,6,5357256
total,7,5570010
total,8,0
total,9,0
total,10,0
total,11,0
total,12,0
ticket,1,3752278
ticket,2,3781245
ticket,3,3736451
ticket,4,3711380
ticket,5,4109618
ticket,6,3974208
ticket,7,4511546
ticket,8,0
ticket,9,0
ticket,10,0
ticket,11,0
ticket,12,0
one_way,1,1269748
one_way,2,1627298
one_way,3,1050908
one_way,4,1167273
one_way,5,1287513
one_way,6,1355507
one_way,7,1021339
one_way,8,0
one_way,9,0
one_way,10,0
one_way,11,0
one_way,12,0
