type,month,value
total,1,4903023
total,2,4639258
total,3,4238529
total,4,4360598
total,5,4390791
total,6,4312096
total,7,5112840
total,8,4823858
total,9,4561470
total,10,4758650
total,11,4594418
total,12,5784850
ticket,1,2975992
ticket,2,3070912
ticket,3,3057629
ticket,4,3074643
ticket,5,3163598
ticket,6,3090922
ticket,7,3403046
ticket,8,3250913
ticket,9,3249859
ticket,10,3467772
ticket,11,3391193
ticket,12,3934930
one_way,1,1859905
one_way,2,1517673
one_way,3,1151016
one_way,4,1254200
one_way,5,1194628
one_way,6,1194628
one_way,7,1655578
one_way,8,1526074
one_way,9,1286702
one_way,10,1261837
one_way,11,1173791
one_way,12,1688247
