type,month,value
total,1,5199190
total,2,5346222
total,3,5069447
total,4,4854796
total,5,5100243
total,6,4920170
total,7,5356062
total,8,5190095
total,9,4697489
total,10,5166738
total,11,5019088
total,12,5388484
ticket,1,3682356
ticket,2,3601310
ticket,3,3767128
ticket,4,3604942
ticket,5,3781399
ticket,6,3550907
ticket,7,3730836
ticket,8,3733862
ticket,9,3547476
ticket,10,3901154
ticket,11,3817753
ticket,12,4079626
one_way,1,1433541
one_way,2,1690895
one_way,3,1262804
one_way,4,1221172
one_way,5,1290035
one_way,6,1340715
one_way,7,1557531
one_way,8,1416801
one_way,9,1125967
one_way,10,1229605
one_way,11,1161526
one_way,12,1251713
