type,month,value
total,1,4792646
total,2,5339314
total,3,4849338
total,4,4705746
total,5,4690789
total,6,4846562
total,7,5218612
total,8,5421920
total,9,5045535
total,10,5357413
total,11,4890208
total,12,5548220
ticket,1,3450109
ticket,2,3305369
ticket,3,3544040
ticket,4,3399723
ticket,5,3471062
ticket,6,3391251
ticket,7,3566171
ticket,8,3630644
ticket,9,3280179
ticket,10,3793991
ticket,11,3639375
ticket,12,4038653
one_way,1,1298963
one_way,2,1950937
one_way,3,1273552
one_way,4,1277987
one_way,5,1194015
one_way,6,1421536
one_way,7,1598684
one_way,8,1732345
one_way,9,1732345
one_way,10,1511352
one_way,11,1213056
one_way,12,1433541
